Force_Name,Officer_Sep24,Officer_Mar25,Officer_Sep25,PCSO_Sep24,PCSO_Mar25,PCSO_Sep25,Total_Frontline_Sep24,Total_Frontline_Mar25,Total_Frontline_Sep25
Cleveland Police,1510,1520,1504,84,83,82,1594,1603,1586
Durham Constabulary,1385,1376,1400,121,130,130,1506,1506,1530
Northumbria Police,3830,3829,3837,84,91,106,3914,3920,3943
Cheshire Constabulary,2363,2395,2417,98,90,85,2461,2485,2502
Cumbria Constabulary,1379,1365,1384,41,38,51,1420,1403,1435
Kent Police,4168,4168,4167,77,87,83,4245,4255,4250
Lancashire Constabulary,3569,3561,3606,213,186,231,3782,3747,3837
Merseyside Police,4154,4159,4172,180,190,183,4334,4349,4355
Humberside Police,2272,2273,2284,128,141,131,2400,2414,2415
North Yorkshire Police,1652,1655,1656,136,120,124,1788,1775,1780
South Yorkshire Police,3027,3026,3040,106,99,119,3133,3125,3159
West Yorkshire Police,6137,6138,6130,533,501,462,6670,6639,6592
Derbyshire Constabulary,2096,2102,2123,179,157,138,2275,2259,2261
Leicestershire Police,2247,2248,2267,149,145,155,2396,2393,2422
Lincolnshire Police,1205,1173,1174,39,37,38,1244,1210,1212
Northamptonshire Police,1473,1465,1463,79,82,77,1552,1547,1540
Nottinghamshire Police,2401,2391,2380,145,148,136,2546,2539,2516
Staffordshire Police,2001,1997,1998,173,171,176,2174,2168,2174
Warwickshire Police,1149,1131,1131,65,66,81,1214,1197,1212
West Mercia Police,2524,2509,2520,188,195,182,2712,2704,2702
West Midlands Police,7995,7991,8027,298,298,304,8293,8289,8331
Bedfordshire Police,1455,1481,1454,41,47,45,1496,1528,1499
Cambridgeshire Constabulary,1725,1720,1707,21,20,19,1746,1740,1726
Essex Police,3758,3760,3759,86,86,73,3844,3846,3832
Hertfordshire Constabulary,2379,2379,2380,149,139,136,2528,2518,2516
Norfolk Constabulary,1899,1911,1902,0,0,0,1899,1911,1902
Suffolk Constabulary,1400,1403,1415,27,28,25,1427,1431,1440
City of London Police,989,992,999,4,3,3,993,995,1002
Metropolitan Police Service,33793,33293,32332,1456,1455,1440,35249,34748,33772
Hampshire Constabulary,3349,3370,3364,161,178,167,3510,3548,3531
Surrey Police,2295,2330,2344,73,78,91,2368,2408,2435
Sussex Police,3182,3206,3230,245,260,254,3427,3466,3484
Thames Valley Police,5023,5000,4993,249,258,242,5272,5258,5235
Avon and Somerset Constabulary,3281,3327,3314,255,225,206,3536,3552,3520
Devon & Cornwall Police,3612,3618,3569,137,143,156,3749,3761,3725
Dorset Police,1422,1420,1404,82,71,65,1504,1491,1469
Gloucestershire Constabulary,1321,1346,1349,114,100,72,1435,1446,1421
Wiltshire Police,1243,1213,1215,82,80,72,1325,1293,1287
Dyfed-Powys Police,1302,1291,1261,138,131,115,1440,1422,1376
Gwent Police,1542,1549,1549,134,129,136,1676,1678,1685
North Wales Police,1721,1736,1723,184,188,205,1905,1924,1928
South Wales Police,3529,3511,3496,340,330,324,3869,3841,3820
British Transport Police,2915,2852,2802,192,189,195,3107,3041,2997
